datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2021-05-07 15:00:00,601318.SS,2021-01-28 00:00:00,True,76.13,2021-01-28 00:00:00,2021-01-29 00:00:00,2021-02-01 00:00:00,2021-02-02 00:00:00,2021-02-03 00:00:00,2021-02-09 00:00:00,2021-03-02 00:00:00,2021-03-08 00:00:00,72.93,2021-03-10 00:00:00,2021-03-17 00:00:00,2021-03-18 00:00:00,2021-03-19 00:00:00,2021-03-22 00:00:00,13,True,NORMAL,True,,27ca6c37c9eb4705aff19724b0246347,100,80.05,5.3898,2021-03-23 15:00:00,8005.0,60.84,108.865,e44f867905244d7da34048556f4860de,70.1,12.3514,2021-05-07 15:00:00,STOP_LOSS,-995.0,111.52,-901.22
2021-05-10 00:00:00,601318.SS,2021-04-13 00:00:00,True,67.53,2021-04-13 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-05-06 00:00:00,2021-05-07 00:00:00,,,,,,,,7,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-06-10 00:00:00,601318.SS,2021-05-10 00:00:00,True,64.96,2021-05-10 00:00:00,2021-05-13 00:00:00,2021-05-19 00:00:00,2021-05-31 00:00:00,2021-06-01 00:00:00,2021-06-02 00:00:00,2021-06-03 00:00:00,2021-06-07 00:00:00,59.66,,,,,,8,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-07-09 00:00:00,601318.SS,2021-06-10 00:00:00,False,62.18,2021-06-11 00:00:00,2021-06-15 00:00:00,2021-06-16 00:00:00,2021-06-17 00:00:00,2021-06-18 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,2021-06-29 00:00:00,53.76,2021-06-30 00:00:00,2021-07-02 00:00:00,2021-07-05 00:00:00,2021-07-08 00:00:00,,12,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2021-09-01 15:00:00,601318.SS,2021-07-09 00:00:00,True,54.78,2021-07-09 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,2021-07-20 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,42.05,2021-07-28 00:00:00,2021-08-13 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-23 00:00:00,13,False,NORMAL,True,,b057e272c6c04d21a92bf8f282b0d463,100,51.8,5.2523,2021-08-24 15:00:00,5180.0,39.42,70.37,4f8ed3b33f89405abd7b3d59d19aafc4,51.49,10.3998,2021-09-01 15:00:00,STOP_LOSS,-31.0,0.0,-46.65
2022-03-10 15:00:00,601318.SS,2021-08-31 00:00:00,True,45.14,2021-08-31 00:00:00,2021-09-14 00:00:00,2021-09-15 00:00:00,2021-09-16 00:00:00,2021-09-17 00:00:00,2021-09-22 00:00:00,2021-09-23 00:00:00,2021-09-30 00:00:00,37.74,2021-10-13 00:00:00,2021-10-14 00:00:00,2021-10-15 00:00:00,2021-10-18 00:00:00,2021-10-26 00:00:00,13,False,NORMAL,True,,0d146944ebbc4e8aa61ddba3b6bb66de,100,51.65,5.2515,2021-10-27 15:00:00,5165.0,35.9,75.275,077469c8d7874c3d9d35c99352a22910,46.91,9.9195,2022-03-10 15:00:00,STOP_LOSS,-474.0,0.0,-489.17
2022-06-24 00:00:00,601318.SS,2022-04-28 00:00:00,True,38.24,2022-05-09 00:00:00,2022-05-13 00:00:00,2022-05-16 00:00:00,2022-05-24 00:00:00,2022-05-25 00:00:00,2022-06-02 00:00:00,2022-06-13 00:00:00,,,,,,,,7,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2022-10-25 15:00:00,601318.SS,2022-03-04 00:00:00,True,43.85,2022-03-04 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-03-09 00:00:00,2022-03-10 00:00:00,2022-03-14 00:00:00,2022-03-15 00:00:00,2022-03-16 00:00:00,34.54,2022-03-29 00:00:00,2022-04-11 00:00:00,2022-04-18 00:00:00,2022-04-19 00:00:00,2022-04-20 00:00:00,13,False,NORMAL,True,,1121addc20ff4d64a613422a518d3c83,200,46.22,5.4502,2022-04-21 15:00:00,9244.0,30.26,70.16,7522ee0e99cc4c6ab7185be279b5eead,37.72,12.9114,2022-10-25 15:00:00,STOP_LOSS,-1700.0,382.4,-1335.96
2022-10-25 15:00:00,601318.SS,2022-07-12 00:00:00,True,39.29,2022-07-12 00:00:00,2022-07-13 00:00:00,2022-07-14 00:00:00,2022-07-15 00:00:00,2022-07-21 00:00:00,2022-07-22 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,33.86,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,2022-08-09 00:00:00,2022-08-10 00:00:00,13,True,NORMAL,True,,b59da9b363104569acc18e19133acbfa,200,41.46,5.4038,2022-08-11 15:00:00,8292.0,31.38,56.58,8eabe041fe904a6084ed142f76dca2e7,37.72,12.9114,2022-10-25 15:00:00,STOP_LOSS,-748.0,144.8,-621.52
2022-10-28 00:00:00,601318.SS,2022-09-28 00:00:00,True,36.71,2022-09-28 00:00:00,2022-09-29 00:00:00,2022-09-30 00:00:00,2022-10-11 00:00:00,2022-10-19 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,30.34,2022-10-25 00:00:00,,,,,9,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2022-11-14 00:00:00,601318.SS,2022-10-28 00:00:00,True,34.18,2022-10-28 00:00:00,2022-10-31 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-03-17 00:00:00,601318.SS,2023-02-09 00:00:00,False,46.24,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,38.64,2023-03-14 00:00:00,2023-03-16 00:00:00,,,,10,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2023-04-27 00:00:00,601318.SS,2023-03-17 00:00:00,True,41.84,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-03-28 00:00:00,2023-03-29 00:00:00,2023-03-30 00:00:00,2023-04-06 00:00:00,2023-04-13 00:00:00,2023-04-21 00:00:00,39.38,2023-04-24 00:00:00,2023-04-25 00:00:00,2023-04-26 00:00:00,,,11,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-09-06 00:00:00,601318.SS,2023-08-16 00:00:00,True,47.97,2023-08-17 00:00:00,2023-08-18 00:00:00,2023-08-21 00:00:00,2023-08-22 00:00:00,2023-08-23 00:00:00,,,,,,,,,,5,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2023-11-10 15:00:00,601318.SS,2023-05-31 00:00:00,True,44.49,2023-05-31 00:00:00,2023-06-19 00:00:00,2023-06-20 00:00:00,2023-06-21 00:00:00,2023-06-26 00:00:00,2023-06-27 00:00:00,2023-07-06 00:00:00,2023-07-07 00:00:00,41.33,2023-07-10 00:00:00,2023-07-18 00:00:00,2023-07-19 00:00:00,2023-07-20 00:00:00,2023-07-21 00:00:00,13,True,NORMAL,True,,484682bb6e644b4b97cb8a5530ba1b64,200,46.62,5.4541,2023-07-24 15:00:00,9324.0,38.85,58.275,ec82f40fe7e348f594748cb8ee271c5b,42.35,13.8825,2023-11-10 15:00:00,STOP_LOSS,-854.0,147.36,-725.98
2024-01-03 00:00:00,601318.SS,2023-12-06 00:00:00,True,38.07,2023-12-06 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00,2023-12-14 00:00:00,2023-12-15 00:00:00,2023-12-18 00:00:00,2023-12-19 00:00:00,,,,,,,,7,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2024-05-17 00:00:00,601318.SS,2024-03-25 00:00:00,True,38.8,2024-03-25 00:00:00,2024-04-03 00:00:00,2024-04-08 00:00:00,2024-04-09 00:00:00,2024-04-10 00:00:00,2024-04-11 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,33.4,2024-05-08 00:00:00,2024-05-14 00:00:00,2024-05-15 00:00:00,,,11,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2024-10-08 15:00:00,601318.SS,2024-06-04 00:00:00,True,40.21,2024-06-06 00:00:00,2024-06-07 00:00:00,2024-06-11 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-20 00:00:00,2024-06-27 00:00:00,2024-07-05 00:00:00,36.16,2024-07-08 00:00:00,2024-07-16 00:00:00,2024-07-17 00:00:00,2024-07-24 00:00:00,2024-07-25 00:00:00,13,False,NORMAL,True,,14150be7669246e2b56cd92cb8f1b5e8,200,41.09,5.4002,2024-07-26 15:00:00,8218.0,35.04,50.165,6ad432f87c68495f952ce12549ea0631,61.73,17.9473,2024-10-08 15:00:00,PROFIT_TARGET,4128.0,0.0,4104.65
2024-12-10 00:00:00,601318.SS,2024-11-21 00:00:00,False,56.42,2024-11-22 00:00:00,2024-11-25 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2025-02-19 00:00:00,601318.SS,2025-01-13 00:00:00,True,51.47,2025-01-13 00:00:00,2025-01-22 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,,,,,,,,,,,4,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2025-04-23 00:00:00,601318.SS,2025-04-10 00:00:00,False,49.82,,,,,,,,,,,,,,,0,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2025-10-24 00:00:00,601318.SS,2025-09-08 00:00:00,True,60.15,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-09-17 00:00:00,2025-09-18 00:00:00,2025-09-19 00:00:00,,,,,,,,,,5,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
