datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2021-08-23 00:00:00,000858.SZ,2021-07-13 00:00:00,False,276.62,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-30 00:00:00,2021-08-05 00:00:00,2021-08-06 00:00:00,2021-08-13 00:00:00,221.0,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-19 00:00:00,2021-08-20 00:00:00,2021-08-23 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-02-11 00:00:00,000858.SZ,2022-01-11 00:00:00,True,217.78,2022-01-11 00:00:00,2022-01-13 00:00:00,2022-01-14 00:00:00,2022-01-25 00:00:00,2022-01-26 00:00:00,2022-01-27 00:00:00,2022-01-28 00:00:00,2022-02-07 00:00:00,175.82,2022-02-08 00:00:00,,,,,9,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2022-03-22 00:00:00,000858.SZ,2022-02-11 00:00:00,False,195.2,2022-02-22 00:00:00,2022-02-23 00:00:00,2022-02-24 00:00:00,2022-02-25 00:00:00,2022-03-03 00:00:00,2022-03-04 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,146.45,2022-03-09 00:00:00,2022-03-15 00:00:00,2022-03-16 00:00:00,2022-03-21 00:00:00,2022-03-22 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-10-19 00:00:00,000858.SZ,2022-08-29 00:00:00,True,160.2,2022-08-29 00:00:00,2022-08-30 00:00:00,2022-09-02 00:00:00,2022-09-05 00:00:00,2022-09-06 00:00:00,2022-09-22 00:00:00,2022-09-23 00:00:00,2022-09-30 00:00:00,152.45,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-19 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-11-30 00:00:00,000858.SZ,2022-11-01 00:00:00,True,140.03,2022-11-09 00:00:00,2022-11-10 00:00:00,2022-11-21 00:00:00,2022-11-22 00:00:00,2022-11-24 00:00:00,2022-11-25 00:00:00,,,,,,,,,6,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-04-24 00:00:00,000858.SZ,2023-03-17 00:00:00,True,187.58,2023-03-17 00:00:00,2023-03-20 00:00:00,2023-04-04 00:00:00,2023-04-06 00:00:00,2023-04-07 00:00:00,2023-04-10 00:00:00,2023-04-11 00:00:00,2023-04-12 00:00:00,159.04,2023-04-13 00:00:00,2023-04-19 00:00:00,2023-04-20 00:00:00,2023-04-21 00:00:00,2023-04-24 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2023-09-21 00:00:00,000858.SZ,2023-08-14 00:00:00,True,169.51,2023-08-14 00:00:00,2023-08-15 00:00:00,2023-08-18 00:00:00,2023-08-21 00:00:00,2023-08-22 00:00:00,2023-08-23 00:00:00,2023-08-28 00:00:00,2023-08-29 00:00:00,146.41,2023-09-07 00:00:00,2023-09-08 00:00:00,2023-09-14 00:00:00,2023-09-15 00:00:00,2023-09-21 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2023-11-06 00:00:00,000858.SZ,2023-09-27 00:00:00,True,150.05,2023-09-27 00:00:00,2023-09-28 00:00:00,2023-10-09 00:00:00,2023-10-10 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,131.26,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-11-03 00:00:00,,,11,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2024-01-17 00:00:00,000858.SZ,2023-11-30 00:00:00,True,143.65,2023-12-04 00:00:00,2023-12-05 00:00:00,2023-12-06 00:00:00,2023-12-11 00:00:00,2023-12-12 00:00:00,2023-12-13 00:00:00,2023-12-14 00:00:00,2024-01-03 00:00:00,121.89,2024-01-04 00:00:00,2024-01-05 00:00:00,2024-01-08 00:00:00,2024-01-09 00:00:00,2024-01-17 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2024-07-05 00:00:00,000858.SZ,2024-06-04 00:00:00,True,142.98,2024-06-06 00:00:00,2024-06-07 00:00:00,2024-06-11 00:00:00,2024-06-12 00:00:00,2024-06-13 00:00:00,2024-06-14 00:00:00,2024-06-20 00:00:00,2024-06-21 00:00:00,117.21,2024-06-24 00:00:00,2024-06-27 00:00:00,2024-06-28 00:00:00,2024-07-01 00:00:00,2024-07-05 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
