date,stock_code,name,amount,market_value,cost_basis
20211126,601318.SS,中国平安,100,4872.0,51.7
20211129,601318.SS,中国平安,100,4866.0,51.7
20211130,601318.SS,中国平安,100,4822.0,51.7
20211201,601318.SS,中国平安,100,4887.0,51.7
20211202,601318.SS,中国平安,100,4888.0,51.7
20211203,601318.SS,中国平安,100,4899.0,51.7
20211206,601318.SS,中国平安,100,4915.0,51.7
20211207,601318.SS,中国平安,100,5039.0,51.7
20211208,601318.SS,中国平安,100,5034.0,51.7
20211209,601318.SS,中国平安,100,5131.0,51.7
20211210,601318.SS,中国平安,100,5122.0,51.7
20211213,601318.SS,中国平安,100,5115.0,51.7
20211214,601318.SS,中国平安,100,5085.0,51.7
20211215,601318.SS,中国平安,100,5070.0,51.7
20211216,601318.SS,中国平安,100,5120.0,51.7
20211217,601318.SS,中国平安,100,5054.0,51.7
20211220,601318.SS,中国平安,100,5028.0,51.7
20211221,601318.SS,中国平安,100,5084.0,51.7
20211222,601318.SS,中国平安,100,5018.0,51.7
20211223,601318.SS,中国平安,100,5022.0,51.7
20211223,600036.SS,招商银行,100,5022.0,50.27
20211224,601318.SS,中国平安,100,4982.0,51.7
20211224,600036.SS,招商银行,100,4986.0,50.27
20211227,601318.SS,中国平安,100,4998.0,51.7
20211227,600036.SS,招商银行,100,4933.0,50.27
20211228,601318.SS,中国平安,100,5087.0,51.7
20211228,600036.SS,招商银行,100,4963.0,50.27
20211229,601318.SS,中国平安,100,5081.0,51.7
20211229,600036.SS,招商银行,100,4762.0,50.27
20211230,601318.SS,中国平安,100,5041.0,51.7
20211230,600036.SS,招商银行,100,4850.0,50.27
20211231,601318.SS,中国平安,100,5041.0,51.7
20211231,600036.SS,招商银行,100,4871.0,50.27
20220104,601318.SS,中国平安,100,5100.0,51.7
20220104,600036.SS,招商银行,100,4835.0,50.27
20220105,601318.SS,中国平安,100,5207.0,51.7
20220106,601318.SS,中国平安,100,5130.0,51.7
20220107,601318.SS,中国平安,100,5294.0,51.7
20220110,601318.SS,中国平安,100,5308.0,51.7
20220111,601318.SS,中国平安,100,5286.0,51.7
20220112,601318.SS,中国平安,100,5250.0,51.7
20220113,601318.SS,中国平安,100,5230.0,51.7
20220114,601318.SS,中国平安,100,5110.0,51.7
20220117,601318.SS,中国平安,100,5094.0,51.7
20220118,601318.SS,中国平安,100,5123.0,51.7
20220119,601318.SS,中国平安,100,5145.0,51.7
20220120,601318.SS,中国平安,100,5340.0,51.7
20220121,601318.SS,中国平安,100,5355.0,51.7
20220124,601318.SS,中国平安,100,5313.0,51.7
20220125,601318.SS,中国平安,100,5120.0,51.7
20220126,601318.SS,中国平安,100,5183.0,51.7
20220127,601318.SS,中国平安,100,5079.0,51.7
20220128,601318.SS,中国平安,100,4997.0,51.7
20220207,601318.SS,中国平安,100,5198.0,51.7
20220208,601318.SS,中国平安,100,5300.0,51.7
20220209,601318.SS,中国平安,100,5304.0,51.7
20220210,601318.SS,中国平安,100,5418.0,51.7
20220211,601318.SS,中国平安,100,5559.0,51.7
20220214,601318.SS,中国平安,100,5390.0,51.7
20220215,601318.SS,中国平安,100,5328.0,51.7
20220216,601318.SS,中国平安,100,5384.0,51.7
20220217,601318.SS,中国平安,100,5365.0,51.7
20220218,601318.SS,中国平安,100,5450.0,51.7
20220221,601318.SS,中国平安,100,5416.0,51.7
20220222,601318.SS,中国平安,100,5307.0,51.7
20220223,601318.SS,中国平安,100,5289.0,51.7
20220224,601318.SS,中国平安,100,5146.0,51.7
20220225,601318.SS,中国平安,100,5140.0,51.7
20220228,601318.SS,中国平安,100,5076.0,51.7
20220301,601318.SS,中国平安,100,5139.0,51.7
20220302,601318.SS,中国平安,100,5076.0,51.7
20220303,601318.SS,中国平安,100,5092.0,51.7
20220304,601318.SS,中国平安,100,5010.0,51.7
20220307,601318.SS,中国平安,100,4888.0,51.7
20220308,601318.SS,中国平安,100,4747.0,51.7
20220309,601318.SS,中国平安,100,4692.0,51.7
20220330,000651.SZ,格力电器,300,9621.0,32.09
20220331,000651.SZ,格力电器,300,9690.0,32.09
20220401,000651.SZ,格力电器,300,9906.0,32.09
20220406,000651.SZ,格力电器,300,9957.0,32.09
20220407,000651.SZ,格力电器,300,9924.0,32.09
20220408,000651.SZ,格力电器,300,9663.0,32.09
20220411,000651.SZ,格力电器,300,9534.0,32.09
20220412,000651.SZ,格力电器,300,9738.0,32.09
20220413,000651.SZ,格力电器,300,9588.0,32.09
20220414,000651.SZ,格力电器,300,9747.0,32.09
20220415,000651.SZ,格力电器,300,9714.0,32.09
20220418,000651.SZ,格力电器,300,9600.0,32.09
20220419,000651.SZ,格力电器,300,9465.0,32.09
20220420,000651.SZ,格力电器,300,9519.0,32.09
20220421,000651.SZ,格力电器,300,9354.0,32.09
20220421,601318.SS,中国平安,200,9244.0,46.25
20220421,600036.SS,招商银行,200,8256.0,41.31
20220422,000651.SZ,格力电器,300,9591.0,32.09
20220422,601318.SS,中国平安,200,9292.0,46.25
20220422,600036.SS,招商银行,200,8500.0,41.31
20220425,000651.SZ,格力电器,300,9213.0,32.09
20220425,601318.SS,中国平安,200,8970.0,46.25
20220425,600036.SS,招商银行,200,7766.0,41.31
20220426,000651.SZ,格力电器,300,9000.0,32.09
20220426,601318.SS,中国平安,200,8718.0,46.25
20220426,600036.SS,招商银行,200,7682.0,41.31
20220427,000651.SZ,格力电器,300,9138.0,32.09
20220427,601318.SS,中国平安,200,8782.0,46.25
20220427,600036.SS,招商银行,200,7608.0,41.31
20220428,000651.SZ,格力电器,300,9093.0,32.09
20220428,601318.SS,中国平安,200,8732.0,46.25
20220428,600036.SS,招商银行,200,7924.0,41.31
20220429,000651.SZ,格力电器,300,9363.0,32.09
20220429,601318.SS,中国平安,200,8912.0,46.25
20220429,600036.SS,招商银行,200,7986.0,41.31
20220505,000651.SZ,格力电器,300,10266.0,32.09
20220505,601318.SS,中国平安,200,9004.0,46.25
20220505,600036.SS,招商银行,200,7852.0,41.31
20220506,000651.SZ,格力电器,300,10188.0,32.09
20220506,601318.SS,中国平安,200,8812.0,46.25
20220506,600036.SS,招商银行,200,7582.0,41.31
20220509,000651.SZ,格力电器,300,10011.0,32.09
20220509,601318.SS,中国平安,200,8870.0,46.25
20220509,600036.SS,招商银行,200,7294.0,41.31
20220510,000651.SZ,格力电器,300,10065.0,32.09
20220510,601318.SS,中国平安,200,8894.0,46.25
20220511,000651.SZ,格力电器,300,9990.0,32.09
20220511,601318.SS,中国平安,200,8946.0,46.25
20220512,000651.SZ,格力电器,300,9975.0,32.09
20220512,601318.SS,中国平安,200,8800.0,46.25
20220513,000651.SZ,格力电器,300,10059.0,32.09
20220513,601318.SS,中国平安,200,8792.0,46.25
20220516,000651.SZ,格力电器,300,9996.0,32.09
20220516,601318.SS,中国平安,200,8672.0,46.25
20220517,000651.SZ,格力电器,300,10008.0,32.09
20220517,601318.SS,中国平安,200,8764.0,46.25
20220518,000651.SZ,格力电器,300,9900.0,32.09
20220518,601318.SS,中国平安,200,8726.0,46.25
20220519,000651.SZ,格力电器,300,9816.0,32.09
20220519,601318.SS,中国平安,200,8658.0,46.25
20220520,000651.SZ,格力电器,300,9969.0,32.09
20220520,601318.SS,中国平安,200,8862.0,46.25
20220523,000651.SZ,格力电器,300,9714.0,32.09
20220523,601318.SS,中国平安,200,8778.0,46.25
20220524,000651.SZ,格力电器,300,9537.0,32.09
20220524,601318.SS,中国平安,200,8628.0,46.25
20220525,000651.SZ,格力电器,300,9531.0,32.09
20220525,601318.SS,中国平安,200,8646.0,46.25
20220526,000651.SZ,格力电器,300,9522.0,32.09
20220526,601318.SS,中国平安,200,8630.0,46.25
20220527,000651.SZ,格力电器,300,9459.0,32.09
20220527,601318.SS,中国平安,200,8706.0,46.25
20220530,000651.SZ,格力电器,300,9552.0,32.09
20220530,601318.SS,中国平安,200,8830.0,46.25
20220531,000651.SZ,格力电器,300,9651.0,32.09
20220531,601318.SS,中国平安,200,8840.0,46.25
20220601,000651.SZ,格力电器,300,9519.0,32.09
20220601,601318.SS,中国平安,200,8834.0,46.25
20220602,000651.SZ,格力电器,300,9456.0,32.09
20220602,601318.SS,中国平安,200,8800.0,46.25
20220606,000651.SZ,格力电器,300,9510.0,32.09
20220606,601318.SS,中国平安,200,8852.0,46.25
20220607,000651.SZ,格力电器,300,9576.0,32.09
20220607,601318.SS,中国平安,200,8830.0,46.25
20220608,000651.SZ,格力电器,300,9543.0,32.09
20220608,601318.SS,中国平安,200,8918.0,46.25
20220609,000651.SZ,格力电器,300,9393.0,32.09
20220609,601318.SS,中国平安,200,8924.0,46.25
20220610,000651.SZ,格力电器,300,9465.0,32.09
20220610,601318.SS,中国平安,200,8988.0,46.25
20220613,000651.SZ,格力电器,300,9396.0,32.09
20220613,601318.SS,中国平安,200,8828.0,46.25
20220614,000651.SZ,格力电器,300,9492.0,32.09
20220614,601318.SS,中国平安,200,9044.0,46.25
20220615,000651.SZ,格力电器,300,9705.0,32.09
20220615,601318.SS,中国平安,200,9530.0,46.25
20220616,000651.SZ,格力电器,300,9600.0,32.09
20220616,601318.SS,中国平安,200,9300.0,46.25
20220617,000651.SZ,格力电器,300,9795.0,32.09
20220617,601318.SS,中国平安,200,9406.0,46.25
20220620,000651.SZ,格力电器,300,9888.0,32.09
20220620,601318.SS,中国平安,200,9072.0,46.25
20220621,000651.SZ,格力电器,300,9954.0,32.09
20220621,601318.SS,中国平安,200,9226.0,46.25
20220622,000651.SZ,格力电器,300,9636.0,32.09
20220622,601318.SS,中国平安,200,9080.0,46.25
20220623,000651.SZ,格力电器,300,9675.0,32.09
20220623,601318.SS,中国平安,200,9250.0,46.25
20220624,000651.SZ,格力电器,300,10170.0,32.09
20220624,601318.SS,中国平安,200,9352.0,46.25
20220627,000651.SZ,格力电器,300,9975.0,32.09
20220627,601318.SS,中国平安,200,9360.0,46.25
20220628,000651.SZ,格力电器,300,10035.0,32.09
20220628,601318.SS,中国平安,200,9380.0,46.25
20220629,000651.SZ,格力电器,300,9981.0,32.09
20220629,601318.SS,中国平安,200,9358.0,46.25
20220630,000651.SZ,格力电器,300,10116.0,32.09
20220630,601318.SS,中国平安,200,9338.0,46.25
