datetime,event,security,trade_id,open_trade_count,buy_order_id,buy_quantity,buy_price,buy_commission,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_reason,pnl,total_value,available_cash
2021-03-23 00:00:00,OPEN,601318.SS,1,1,4fd088153331440c94618500e21b716b,100,80.05,5.3898,8005.0,60.84,108.865,,,,,,,
2021-04-08 00:00:00,OPEN,000651.SZ,2,1,4c9a7d1e56534d45b946afe393bb142b,100,61.85,5.3012,6185.0,40.29,94.19,,,,,,,
2021-05-07 00:00:00,CLOSE,601318.SS,1,0,4fd088153331440c94618500e21b716b,100.0,80.05,5.3898,8005.0,60.84,108.865,eb7acffbf32247468f6ec186db880f32,70.1,12.3514,STOP_LOSS,-901.54,998864.1575600001,992908.1575600001
2021-06-01 00:00:00,OPEN,000651.SZ,3,2,7f061dc2eded4f93890a0669965da9cb,100,56.3,5.2742,5630.0,38.89,82.415,,,,,,998864.1575600001,992908.1575600001
2021-06-21 00:00:00,CLOSE,000651.SZ,2,1,4c9a7d1e56534d45b946afe393bb142b,100.0,61.85,5.3012,6185.0,40.29,94.19,14d195a0165d4271803126d875b0c522,51.11,10.3599,STOP_LOSS,-1089.66,997484.5234733002,992373.5234733002
2021-06-22 00:00:00,CLOSE,000651.SZ,3,0,7f061dc2eded4f93890a0669965da9cb,100.0,56.3,5.2742,5630.0,38.89,82.415,478f755632554a65b925025ea97dddf4,49.82,10.2246,STOP_LOSS,-663.5,997345.2988499001,997345.2988499001
2021-08-24 00:00:00,OPEN,601318.SS,4,1,26271dc341b94c00855e1db6ac17eed1,100,51.8,5.2523,5180.0,39.41,70.385,,,,,,997345.2988499001,997345.2988499001
2021-08-31 00:00:00,OPEN,000651.SZ,5,1,42cca761867e4fd797589f848cf6fba4,200,41.1,5.4003,8220.0,27.45,61.575,,,,,,997345.2988499001,997345.2988499001
2021-09-01 00:00:00,CLOSE,601318.SS,4,0,26271dc341b94c00855e1db6ac17eed1,100.0,51.8,5.2523,5180.0,39.41,70.385,c6fa1d325f9f4210b2ae083c5c1a076e,51.49,10.3998,STOP_LOSS,-46.65,997405.2465136001,989073.2465136001
2021-09-17 00:00:00,CLOSE,000651.SZ,5,0,42cca761867e4fd797589f848cf6fba4,200.0,41.1,5.4003,8220.0,27.45,61.575,1321d7159cbb427a9125956a44bd600c,38.26,13.0247,STOP_LOSS,-586.42,996712.2218612,996712.2218612
2021-10-27 00:00:00,OPEN,601318.SS,6,1,34424e11a49c41619fe8365564c401a4,100,51.65,5.2515,5165.0,35.89,75.29,,,,,,996712.2218612,996712.2218612
2021-12-23 00:00:00,OPEN,600036.SS,7,1,89657106bab3487b8ecefbe03366b5a6,100,50.22,5.2446,5022.0,39.3,66.6,,,,,,996712.2218612,996712.2218612
2022-01-05 00:00:00,CLOSE,600036.SS,7,0,89657106bab3487b8ecefbe03366b5a6,100.0,50.22,5.2446,5022.0,39.3,66.6,f1fc180153c644f884c811ccc3af1d87,49.05,10.1439,STOP_LOSS,-132.39,996616.5818808,991409.5818808
2022-03-10 00:00:00,CLOSE,601318.SS,6,0,34424e11a49c41619fe8365564c401a4,100.0,51.65,5.2515,5165.0,35.89,75.29,fa8d7c4bdffa48e4ab7e4f8205d6dc2d,46.91,9.9195,STOP_LOSS,-489.17,996090.6624290999,996090.6624290999
2022-03-30 00:00:00,OPEN,000651.SZ,8,1,3039230b300d46ec996219701d031d92,300,32.07,5.4685,9621.0,18.12,52.995,,,,,,996090.6624290999,996090.6624290999
2022-04-21 00:00:00,OPEN,601318.SS,9,1,802c6c400a5046ddbe0966a68dfd83e0,200,46.22,5.4502,9244.0,30.25,70.175,,,,,,996090.6624290999,996090.6624290999
2022-04-21 00:00:00,OPEN,600036.SS,10,1,832f1790ad564c2a83d3b436154e7d2a,200,41.28,5.4021,8256.0,28.51,60.435,,,,,,996090.6624290999,996090.6624290999
2022-05-10 00:00:00,CLOSE,600036.SS,10,0,832f1790ad564c2a83d3b436154e7d2a,200.0,41.28,5.4021,8256.0,28.51,60.435,949d05e119c2494297cdd149fffa9f40,36.98,12.7562,STOP_LOSS,-878.16,995521.1854511999,976562.1854511999
2022-07-08 00:00:00,OPEN,600036.SS,11,1,a82bbb405ed543168ec9482abfdf818d,200,39.81,5.3877,7962.0,25.12,61.845,,,,,,995521.1854511999,976562.1854511999
2022-08-11 00:00:00,OPEN,601318.SS,12,2,f5d58d6670ac4ac39c15d494ebe8ca12,200,41.46,5.4038,8292.0,31.37,56.595,,,,,,995521.1854511999,976562.1854511999
2022-08-24 00:00:00,OPEN,600036.SS,13,2,c5a43ce2a45243d6b299df34ebec2a42,300,32.84,5.4798,9852.0,24.69,45.065,,,,,,995521.1854511999,976562.1854511999
2022-10-11 00:00:00,CLOSE,600036.SS,11,1,a82bbb405ed543168ec9482abfdf818d,200.0,39.81,5.3877,7962.0,25.12,61.845,fe601d6bd24c45dc8d5a03762f09560a,31.4,11.5858,STOP_LOSS,-1455.77,993129.8494989999,967067.8494989999
2022-10-11 00:00:00,CLOSE,600036.SS,13,0,c5a43ce2a45243d6b299df34ebec2a42,300.0,32.84,5.4798,9852.0,24.69,45.065,4a7f90e7752b4e8fa38b66a0c9b34cb1,31.4,14.8788,STOP_LOSS,-452.36,993129.8494989999,967067.8494989999
2022-10-25 00:00:00,CLOSE,601318.SS,9,1,802c6c400a5046ddbe0966a68dfd83e0,200.0,46.22,5.4502,9244.0,30.25,70.175,dade08e4aeb2424eb9e76540182dd6c4,37.72,12.9114,STOP_LOSS,-1334.36,991361.2267133998,982421.2267133998
2022-10-25 00:00:00,CLOSE,601318.SS,12,0,f5d58d6670ac4ac39c15d494ebe8ca12,200.0,41.46,5.4038,8292.0,31.37,56.595,45a3afd2bdc54a2099bc0fc0c1b0e5c4,37.72,12.9114,STOP_LOSS,-620.72,991361.2267133998,982421.2267133998
2022-11-01 00:00:00,OPEN,600036.SS,14,1,8149c4777b5d45a89911d6f40dc31e06,300,28.19,5.4119,8457.0,18.75,42.35,,,,,,991361.2267133998,982421.2267133998
2022-11-22 00:00:00,OPEN,000651.SZ,15,2,7260c661e3c8472c851ea1654fa69f99,300,31.29,5.4571,9387.0,18.74,50.115,,,,,,991361.2267133998,982421.2267133998
2023-03-15 00:00:00,OPEN,600036.SS,16,2,02cffc72ea264e52a01766ea1be1b19f,200,34.88,5.3397,6976.0,27.03,46.655,,,,,,991361.2267133998,982421.2267133998
2023-03-31 00:00:00,CLOSE,600036.SS,16,1,02cffc72ea264e52a01766ea1be1b19f,200.0,34.88,5.3397,6976.0,27.03,46.655,77ed78b62f414c5f83521e9089e5c86a,34.27,12.1878,STOP_LOSS,-139.53,997237.8301895998,964906.8301895998
2023-04-18 00:00:00,CLOSE,000651.SZ,8,1,3039230b300d46ec996219701d031d92,300.0,32.07,5.4685,9621.0,18.12,52.995,f0a81f67ed4d42579ca51501a96cd764,40.58,17.7669,TREND_REVERSAL,3468.16,999923.2964419998,989219.2964419998
2023-04-18 00:00:00,CLOSE,000651.SZ,15,0,7260c661e3c8472c851ea1654fa69f99,300.0,31.29,5.4571,9387.0,18.74,50.115,5e335a135fa044159a8136d7937e4353,40.58,17.7669,TREND_REVERSAL,3003.78,999923.2964419998,989219.2964419998
2023-05-12 00:00:00,OPEN,600036.SS,17,2,e5e10754f3014d0c8097c3b46d4bee39,200,34.04,5.3315,6808.0,24.57,48.245,,,,,,999923.2964419998,989219.2964419998
2023-07-24 00:00:00,OPEN,601318.SS,18,1,26c92c60def44306afeeded29427eeb2,200,46.62,5.4541,9324.0,38.85,58.275,,,,,,999923.2964419998,989219.2964419998
2023-10-17 00:00:00,OPEN,600036.SS,19,3,077c9cbcea034f65a2c6d658b82d2bf0,300,32.52,5.4751,9756.0,25.28,43.38,,,,,,999923.2964419998,989219.2964419998
2023-11-10 00:00:00,CLOSE,601318.SS,18,0,26c92c60def44306afeeded29427eeb2,200.0,46.62,5.4541,9324.0,38.85,58.275,3e9192f5d36d40afaa1fe57c541c28c3,42.35,13.8825,STOP_LOSS,-726.14,996742.3532073997,972614.3532073997
2023-11-13 00:00:00,CLOSE,600036.SS,19,2,077c9cbcea034f65a2c6d658b82d2bf0,300.0,32.52,5.4751,9756.0,25.28,43.38,0842d910f7b149f1922260aab2435c63,29.82,14.3817,STOP_LOSS,-829.86,996455.9715371997,981545.9715371997
2023-11-28 00:00:00,CLOSE,600036.SS,17,1,e5e10754f3014d0c8097c3b46d4bee39,200.0,34.04,5.3315,6808.0,24.57,48.245,a0ff5c537d6d4cfc8e7706b1b860a86c,29.16,11.116,STOP_LOSS,-714.05,996114.8555187997,987366.8555187997
2023-12-07 00:00:00,CLOSE,600036.SS,14,0,8149c4777b5d45a89911d6f40dc31e06,300.0,28.19,5.4119,8457.0,18.75,42.35,be49f576060e45b388475e7b352b505b,27.81,13.7493,MAX_HOLDING_DAYS,284.44,995696.1062146997,995696.1062146997
2024-07-26 00:00:00,OPEN,601318.SS,20,1,d5def1fa5ccb42eaa3f2b33632385489,200,41.09,5.4002,8218.0,35.04,50.165,,,,,,995696.1062146997,995696.1062146997
2024-08-08 00:00:00,OPEN,000651.SZ,21,1,be942faefa484918bb1898d556505939,200,40.48,5.3943,8096.0,29.59,56.815,,,,,,995696.1062146997,995696.1062146997
2024-10-08 00:00:00,CLOSE,601318.SS,20,0,d5def1fa5ccb42eaa3f2b33632385489,200.0,41.09,5.4002,8218.0,35.04,50.165,5d5ad2bd162741e5b6219035ff734b2b,61.73,17.9473,PROFIT_TARGET,4104.65,1002372.1644726997,992072.1644726997
