event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
601318SS_2022-10-28T000000_BUY_SETUP_PERFECT_1_2022-10-28T000000_9,2022-10-28 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,5,2022-11-04 00:00:00,29.37,30.95,0.05379639,0.06537283,-0.02826013
601318SS_2022-10-28T000000_BUY_COUNTDOWN_CANCEL_1_2022-09-28T000000_9,2022-10-28 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,5,2022-11-04 00:00:00,29.37,30.95,0.05379639,0.06537283,-0.02826013
600036SS_2022-10-31T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2022-09-29T000000_13,2022-10-31 00:00:00,600036.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,5,2022-11-07 00:00:00,20.1,22.44,0.11641791,0.12985075,0.00945274
000858SZ_2022-08-08T000000_SELL_COUNTDOWN_COMPLETE_-1_2022-06-10T000000_13,2022-08-08 00:00:00,000858.SZ,SELL_COUNTDOWN_COMPLETE,-1,60,2022-11-08 00:00:00,161.13,130.71,0.18879166,0.28287718,-0.0108608
000858SZ_2022-11-01T000000_BUY_SETUP_PERFECT_1_2022-11-01T000000_9,2022-11-01 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,5,2022-11-08 00:00:00,125.8,130.71,0.03903021,0.08044515,-0.02281399
601318SS_2022-08-10T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2022-07-12T000000_13,2022-08-10 00:00:00,601318.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,60,2022-11-10 00:00:00,32.13,31.1,-0.03205727,0.16184251,-0.11173358
000858SZ_2022-10-19T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2022-08-29T000000_13,2022-10-19 00:00:00,000858.SZ,BUY_COUNTDOWN_COMPLETE_PERFECT,1,20,2022-11-16 00:00:00,137.72,137.43,-0.00210572,0.01670055,-0.1609788
600519SS_2022-10-20T000000_BUY_SETUP_PERFECT_1_2022-10-20T000000_9,2022-10-20 00:00:00,600519.SS,BUY_SETUP_PERFECT,1,20,2022-11-17 00:00:00,1470.25,1393.75,-0.05203197,0.00292467,-0.21118857
600036SS_2022-11-11T000000_SELL_SETUP_PERFECT_-1_2022-11-11T000000_9,2022-11-11 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2022-11-18 00:00:00,24.52,25.35,-0.03384992,-0.02406199,-0.10562806
601318SS_2022-11-14T000000_BUY_COUNTDOWN_CANCEL_1_2022-10-28T000000_2,2022-11-14 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,5,2022-11-21 00:00:00,34.24,33.85,-0.01139019,0.03942757,-0.02745327
601318SS_2022-11-15T000000_SELL_SETUP_PERFECT_-1_2022-11-15T000000_9,2022-11-15 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,5,2022-11-22 00:00:00,35.13,34.61,0.01480216,0.05209223,-0.00939368
600036SS_2022-08-23T000000_BUY_COUNTDOWN_COMPLETE_1_2022-07-14T000000_13,2022-08-23 00:00:00,600036.SS,BUY_COUNTDOWN_COMPLETE,1,60,2022-11-23 00:00:00,26.38,25.5,-0.03335861,0.11220622,-0.25777104
600519SS_2022-08-24T000000_SELL_COUNTDOWN_CANCEL_-1_2022-06-29T000000_6,2022-08-24 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,60,2022-11-24 00:00:00,1680.95,1346.74,0.19882209,0.31006276,-0.04245218
601318SS_2022-10-28T000000_BUY_SETUP_PERFECT_1_2022-10-28T000000_9,2022-10-28 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,20,2022-11-25 00:00:00,29.37,35.39,0.20497106,0.21178073,-0.02826013
601318SS_2022-10-28T000000_BUY_COUNTDOWN_CANCEL_1_2022-09-28T000000_9,2022-10-28 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,20,2022-11-25 00:00:00,29.37,35.39,0.20497106,0.21178073,-0.02826013
600036SS_2022-10-31T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2022-09-29T000000_13,2022-10-31 00:00:00,600036.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,20,2022-11-28 00:00:00,20.1,25.24,0.25572139,0.34875622,0.00945274
000651SZ_2022-11-21T000000_BUY_COUNTDOWN_COMPLETE_1_2022-09-28T000000_13,2022-11-21 00:00:00,000651.SZ,BUY_COUNTDOWN_COMPLETE,1,5,2022-11-28 00:00:00,22.78,23.18,0.01755926,0.03775241,-0.01053556
000858SZ_2022-08-29T000000_BUY_SETUP_PERFECT_1_2022-08-29T000000_9,2022-08-29 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,60,2022-11-29 00:00:00,148.57,138.27,-0.06932759,0.0483947,-0.22225214
000858SZ_2022-11-01T000000_BUY_SETUP_PERFECT_1_2022-11-01T000000_9,2022-11-01 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,20,2022-11-29 00:00:00,125.8,138.27,0.0991256,0.11065183,-0.02281399
600519SS_2022-06-10T000000_SELL_SETUP_PERFECT_-1_2022-06-10T000000_9,2022-06-10 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,120,2022-12-05 00:00:00,1705.68,1491.65,0.12548075,0.3200659,-0.11612377
600519SS_2022-11-28T000000_BUY_COUNTDOWN_COMPLETE_1_2022-10-20T000000_13,2022-11-28 00:00:00,600519.SS,BUY_COUNTDOWN_COMPLETE,1,5,2022-12-05 00:00:00,1336.63,1491.65,0.11597824,0.12727531,0.03076394
000858SZ_2022-06-10T000000_SELL_SETUP_-1_2022-06-10T000000_9,2022-06-10 00:00:00,000858.SZ,SELL_SETUP,-1,120,2022-12-05 00:00:00,157.62,151.73,0.03736835,0.26690775,-0.1941378
601318SS_2022-09-05T000000_SELL_SETUP_PERFECT_-1_2022-09-05T000000_9,2022-09-05 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,60,2022-12-06 00:00:00,35.53,40.08,-0.12806079,0.19673515,-0.13481565
000858SZ_2022-11-30T000000_BUY_COUNTDOWN_CANCEL_1_2022-11-01T000000_6,2022-11-30 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,5,2022-12-07 00:00:00,140.08,156.9,0.12007424,0.15248429,0.0385494
600036SS_2022-11-11T000000_SELL_SETUP_PERFECT_-1_2022-11-11T000000_9,2022-11-11 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,20,2022-12-09 00:00:00,24.52,30.03,-0.22471452,0.00774878,-0.23205546
000651SZ_2022-09-08T000000_SELL_SETUP_-1_2022-09-08T000000_9,2022-09-08 00:00:00,000651.SZ,SELL_SETUP,-1,60,2022-12-09 00:00:00,24.86,25.56,-0.02815768,0.18865648,-0.10217216
601318SS_2022-11-14T000000_BUY_COUNTDOWN_CANCEL_1_2022-10-28T000000_2,2022-11-14 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,20,2022-12-12 00:00:00,34.24,38.81,0.13346963,0.18341121,-0.02745327
601318SS_2022-11-15T000000_SELL_SETUP_PERFECT_-1_2022-11-15T000000_9,2022-11-15 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,20,2022-12-13 00:00:00,35.13,39.34,-0.11984059,0.05209223,-0.15343012
000651SZ_2022-12-07T000000_SELL_SETUP_PERFECT_-1_2022-12-07T000000_9,2022-12-07 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2022-12-14 00:00:00,24.8,25.08,-0.01129032,0.00846774,-0.03951613
600519SS_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,5,2022-12-16 00:00:00,1556.75,1613.62,-0.03653123,0.00963546,-0.0552433
000858SZ_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,5,2022-12-16 00:00:00,166.49,165.74,0.00450478,0.04354616,-0.01519611
601318SS_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,5,2022-12-16 00:00:00,40.24,39.54,0.01739563,0.04473161,0.00795229
601318SS_2022-12-09T000000_SELL_COUNTDOWN_CANCEL_-1_2022-11-15T000000_8,2022-12-09 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,5,2022-12-16 00:00:00,40.24,39.54,0.01739563,0.04473161,0.00795229
600036SS_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2022-12-16 00:00:00,30.03,30.37,-0.01132201,0.03796204,-0.01498501
600036SS_2022-12-09T000000_SELL_COUNTDOWN_CANCEL_-1_2022-11-11T000000_9,2022-12-09 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,5,2022-12-16 00:00:00,30.03,30.37,-0.01132201,0.03796204,-0.01498501
601318SS_2022-06-24T000000_BUY_COUNTDOWN_CANCEL_1_2022-04-28T000000_7,2022-06-24 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,120,2022-12-19 00:00:00,38.49,38.41,-0.00207846,0.05274097,-0.2585087
000651SZ_2022-11-21T000000_BUY_COUNTDOWN_COMPLETE_1_2022-09-28T000000_13,2022-11-21 00:00:00,000651.SZ,BUY_COUNTDOWN_COMPLETE,1,20,2022-12-19 00:00:00,22.78,24.5,0.07550483,0.13169447,-0.01053556
600519SS_2022-06-29T000000_SELL_SETUP_-1_2022-06-29T000000_9,2022-06-29 00:00:00,600519.SS,SELL_SETUP,-1,120,2022-12-22 00:00:00,1835.08,1594.75,0.13096432,0.3680112,-0.03742071
600519SS_2022-06-29T000000_SELL_COUNTDOWN_CANCEL_-1_2022-06-10T000000_7,2022-06-29 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,120,2022-12-22 00:00:00,1835.08,1594.75,0.13096432,0.3680112,-0.03742071
600519SS_2022-11-28T000000_BUY_COUNTDOWN_COMPLETE_1_2022-10-20T000000_13,2022-11-28 00:00:00,600519.SS,BUY_COUNTDOWN_COMPLETE,1,20,2022-12-26 00:00:00,1336.63,1568.81,0.17370551,0.22902374,0.03076394
000858SZ_2022-11-30T000000_BUY_COUNTDOWN_CANCEL_1_2022-11-01T000000_6,2022-11-30 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,20,2022-12-28 00:00:00,140.08,163.4,0.1664763,0.20659623,0.0385494
601318SS_2022-09-28T000000_BUY_SETUP_PERFECT_1_2022-09-28T000000_9,2022-09-28 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,60,2022-12-28 00:00:00,33.62,38.92,0.15764426,0.20523498,-0.15110054
601318SS_2022-09-28T000000_SELL_COUNTDOWN_CANCEL_-1_2022-09-05T000000_2,2022-09-28 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,60,2022-12-28 00:00:00,33.62,38.92,-0.15764426,0.15110054,-0.20523498
