日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-06-13,15:30:00,000651.SZ,31.320,300,多,31.339,9396.000,-5.820
2022-06-13,15:30:00,601318.SS,44.140,200,多,46.247,8828.000,-421.460
2022-06-14,15:30:00,000651.SZ,31.640,300,多,31.339,9492.000,90.180
2022-06-14,15:30:00,601318.SS,45.220,200,多,46.247,9044.000,-205.460
2022-06-15,15:30:00,000651.SZ,32.350,300,多,31.339,9705.000,303.180
2022-06-15,15:30:00,601318.SS,47.650,200,多,46.247,9530.000,280.540
2022-06-16,15:30:00,000651.SZ,32.000,300,多,31.339,9600.000,198.180
2022-06-16,15:30:00,601318.SS,46.500,200,多,46.247,9300.000,50.540
2022-06-17,15:30:00,000651.SZ,32.650,300,多,31.339,9795.000,393.180
2022-06-17,15:30:00,601318.SS,47.030,200,多,46.247,9406.000,156.540
2022-06-20,15:30:00,000651.SZ,32.960,300,多,31.339,9888.000,486.180
2022-06-20,15:30:00,601318.SS,45.360,200,多,45.059,9072.000,60.140
2022-06-21,15:30:00,000651.SZ,33.180,300,多,31.339,9954.000,552.180
2022-06-21,15:30:00,601318.SS,46.130,200,多,45.059,9226.000,214.140
2022-06-22,15:30:00,000651.SZ,32.120,300,多,31.339,9636.000,234.180
2022-06-22,15:30:00,601318.SS,45.400,200,多,45.059,9080.000,68.140
2022-06-23,15:30:00,000651.SZ,32.250,300,多,31.339,9675.000,273.180
2022-06-23,15:30:00,601318.SS,46.250,200,多,45.059,9250.000,238.140
2022-06-24,15:30:00,000651.SZ,33.900,300,多,31.339,10170.000,768.180
2022-06-24,15:30:00,601318.SS,46.760,200,多,45.059,9352.000,340.140
2022-06-27,15:30:00,000651.SZ,33.250,300,多,31.339,9975.000,573.180
2022-06-27,15:30:00,601318.SS,46.800,200,多,45.059,9360.000,348.140
2022-06-28,15:30:00,000651.SZ,33.450,300,多,31.339,10035.000,633.180
2022-06-28,15:30:00,601318.SS,46.900,200,多,45.059,9380.000,368.140
2022-06-29,15:30:00,000651.SZ,33.270,300,多,31.339,9981.000,579.180
2022-06-29,15:30:00,601318.SS,46.790,200,多,45.059,9358.000,346.140
2022-06-30,15:30:00,000651.SZ,33.720,300,多,31.339,10116.000,714.180
2022-06-30,15:30:00,601318.SS,46.690,200,多,45.059,9338.000,326.140
2022-07-01,15:30:00,000651.SZ,33.450,300,多,31.339,10035.000,633.180
