event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
600519SS_2023-10-18T000000_BUY_SETUP_PERFECT_1_2023-10-18T000000_9,2023-10-18 00:00:00,600519.SS,BUY_SETUP_PERFECT,1,60,2024-01-11 00:00:00,1602.58,1540.26,-0.03888729,0.07612724,-0.06973131
600519SS_2023-12-13T000000_SELL_COUNTDOWN_CANCEL_-1_2023-11-06T000000_6,2023-12-13 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,20,2024-01-11 00:00:00,1534.58,1540.26,-0.00370134,0.0162911,-0.0708272
000651SZ_2023-10-18T000000_BUY_SETUP_PERFECT_1_2023-10-18T000000_9,2023-10-18 00:00:00,000651.SZ,BUY_SETUP_PERFECT,1,60,2024-01-11 00:00:00,28.07,27.27,-0.02850018,0.00106876,-0.12860705
000651SZ_2023-10-18T000000_SELL_COUNTDOWN_CANCEL_-1_2023-09-06T000000_4,2023-10-18 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,60,2024-01-11 00:00:00,28.07,27.27,0.02850018,0.12860705,-0.00106876
601318SS_2023-10-19T000000_SELL_COUNTDOWN_CANCEL_-1_2023-09-06T000000_3,2023-10-19 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,60,2024-01-12 00:00:00,40.17,33.07,0.17674882,0.18695544,-0.02588997
601318SS_2023-07-21T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2023-05-31T000000_13,2023-07-21 00:00:00,601318.SS,BUY_COUNTDOWN_COMPLETE_PERFECT,1,120,2024-01-16 00:00:00,41.09,33.74,-0.17887564,0.16743733,-0.20515941
601318SS_2024-01-10T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-03T000000_0,2024-01-10 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,5,2024-01-17 00:00:00,32.86,33.05,-0.00578211,0.00608643,-0.02860621
600036SS_2023-07-25T000000_BUY_COUNTDOWN_CANCEL_1_2023-05-31T000000_12,2023-07-25 00:00:00,600036.SS,BUY_COUNTDOWN_CANCEL,1,120,2024-01-18 00:00:00,28.29,24.6,-0.13043478,0.09791446,-0.2251679
600519SS_2024-01-16T000000_BUY_SETUP_PERFECT_1_2024-01-16T000000_9,2024-01-16 00:00:00,600519.SS,BUY_SETUP_PERFECT,1,5,2024-01-23 00:00:00,1533.12,1512.69,-0.01332577,0.00232858,-0.05471196
000651SZ_2024-01-16T000000_BUY_COUNTDOWN_CANCEL_1_2023-11-17T000000_6,2024-01-16 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,5,2024-01-23 00:00:00,27.79,26.63,-0.04174163,0.00215905,-0.04965815
000858SZ_2024-01-17T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2023-11-30T000000_13,2024-01-17 00:00:00,000858.SZ,BUY_COUNTDOWN_COMPLETE_PERFECT,1,5,2024-01-24 00:00:00,112.15,115.06,0.02594739,0.03896567,-0.01738743
600036SS_2024-01-17T000000_SELL_SETUP_PERFECT_-1_2024-01-17T000000_9,2024-01-17 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2024-01-24 00:00:00,24.21,25.11,-0.03717472,0.0243701,-0.05410987
600036SS_2024-01-17T000000_BUY_COUNTDOWN_CANCEL_1_2023-12-01T000000_8,2024-01-17 00:00:00,600036.SS,BUY_COUNTDOWN_CANCEL,1,5,2024-01-24 00:00:00,24.21,25.11,0.03717472,0.05410987,-0.0243701
000651SZ_2024-01-17T000000_SELL_SETUP_PERFECT_-1_2024-01-17T000000_9,2024-01-17 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2024-01-24 00:00:00,27.35,27.33,0.00073126,0.03436929,-0.0047532
600519SS_2023-08-02T000000_SELL_SETUP_-1_2023-08-02T000000_9,2023-08-02 00:00:00,600519.SS,SELL_SETUP,-1,120,2024-01-26 00:00:00,1754.58,1531.01,0.12742081,0.17402455,-0.01511473
600519SS_2023-11-06T000000_SELL_SETUP_-1_2023-11-06T000000_9,2023-11-06 00:00:00,600519.SS,SELL_SETUP,-1,60,2024-01-30 00:00:00,1686.58,1506.69,0.10665963,0.14072265,0.00118583
600519SS_2023-11-06T000000_BUY_COUNTDOWN_CANCEL_1_2023-10-18T000000_2,2023-11-06 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,60,2024-01-30 00:00:00,1686.58,1506.69,-0.10665963,-0.00118583,-0.14072265
000858SZ_2023-11-06T000000_SELL_SETUP_-1_2023-11-06T000000_9,2023-11-06 00:00:00,000858.SZ,SELL_SETUP,-1,60,2024-01-30 00:00:00,146.85,114.72,0.21879469,0.2495744,-0.00040858
000858SZ_2023-11-06T000000_BUY_COUNTDOWN_CANCEL_1_2023-09-27T000000_11,2023-11-06 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,60,2024-01-30 00:00:00,146.85,114.72,-0.21879469,0.00040858,-0.2495744
601318SS_2024-01-03T000000_SELL_SETUP_-1_2024-01-03T000000_9,2024-01-03 00:00:00,601318.SS,SELL_SETUP,-1,20,2024-01-31 00:00:00,34.44,35.55,-0.03222997,0.05168409,-0.06649245
601318SS_2024-01-03T000000_BUY_COUNTDOWN_CANCEL_1_2023-12-06T000000_7,2024-01-03 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,20,2024-01-31 00:00:00,34.44,35.55,0.03222997,0.06649245,-0.05168409
601318SS_2024-01-30T000000_SELL_SETUP_PERFECT_-1_2024-01-30T000000_9,2024-01-30 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,5,2024-02-06 00:00:00,35.23,36.6,-0.03888731,0.03377803,-0.0422935
600036SS_2024-01-30T000000_SELL_SETUP_PERFECT_-1_2024-01-30T000000_9,2024-01-30 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2024-02-06 00:00:00,26.02,26.35,-0.01268255,0.05226749,-0.01345119
600036SS_2024-01-30T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-17T000000_8,2024-01-30 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,5,2024-02-06 00:00:00,26.02,26.35,-0.01268255,0.05226749,-0.01345119
000858SZ_2023-08-14T000000_BUY_SETUP_PERFECT_1_2023-08-14T000000_9,2023-08-14 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,120,2024-02-07 00:00:00,155.63,120.88,-0.223286,0.00237743,-0.29595836
601318SS_2024-01-10T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-03T000000_0,2024-01-10 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,20,2024-02-07 00:00:00,32.86,37.42,-0.13877054,0.00608643,-0.13937918
