datetime,event,security,trade_id,open_trade_count,buy_quantity,buy_price,entry_value,stop_loss_price,take_profit_price,sell_price,sell_reason,pnl,total_value,available_cash
2025-03-25 00:00:00,OPEN,000858.SZ,1,1,700,133.6066,93524.6,115.39,160.9314,,,,,
2025-05-26 00:00:00,OPEN,000858.SZ,2,2,700,126.41,88487.0,111.4,148.925,,,,,
2025-06-13 00:00:00,CLOSE,000858.SZ,1,1,700,133.6066,93524.6,115.39,160.9314,115.39,STOP_LOSS,-12751.62,983423.8863984,900634.8863984
2025-06-16 00:00:00,CLOSE,000858.SZ,2,0,700,126.41,88487.0,111.4,148.925,111.4,STOP_LOSS,-10507.0,982920.7575645,982920.7575645
2025-10-10 00:00:00,OPEN,600036.SS,3,1,2400,40.194,96465.63,38.19,43.2,,,,982920.7575645,982920.7575645
2025-11-17 00:00:00,OPEN,000858.SZ,4,1,800,120.1919,96153.52,112.42,131.8497,,,,982920.7575645,982920.7575645
2025-12-04 00:00:00,CLOSE,000858.SZ,4,0,800,120.1919,96153.52,112.42,131.8497,112.42,STOP_LOSS,-6217.52,986425.5774405,882145.5774405
2025-12-19 00:00:00,CLOSE,600036.SS,3,0,2400,40.194,96465.63,38.19,43.2,40.98,TREND_REVERSAL,1886.4,982258.3729629001,982258.3729629001
2025-12-31 00:00:00,OPEN,000651.SZ,5,1,2400,40.234,96561.66,37.56,44.2451,,,,982258.3729629001,982258.3729629001
