datetime,event,security,trade_id,open_trade_count,buy_quantity,buy_price,entry_value,stop_loss_price,take_profit_price,sell_price,sell_reason,pnl,total_value,available_cash
2025-03-25 15:00:00,OPEN,000858.SZ,1,1,700,133.56,93492.0,115.39,160.815,,,,,
2025-05-26 15:00:00,OPEN,000858.SZ,2,2,800,126.41,101128.0,111.4,148.925,,,,,
2025-06-13 00:00:00,CLOSE,000858.SZ,1,1,700,133.56,93492.0,115.39,160.815,115.39,STOP_LOSS,-12719.0,983423.8863984,900634.8863984
2025-06-16 00:00:00,CLOSE,000858.SZ,2,1,700.0,126.41,88487.0,111.4,148.925,111.4,STOP_LOSS,-10507.0,982920.7575645,982920.7575645
2025-10-10 15:00:00,OPEN,600036.SS,3,1,2400,40.18,96432.0,38.19,43.165,,,,982920.7575645,982920.7575645
2025-11-17 15:00:00,OPEN,000858.SZ,4,2,800,120.15,96120.0,112.42,131.745,,,,982920.7575645,982920.7575645
2025-12-04 00:00:00,CLOSE,000858.SZ,4,1,800,120.15,96120.0,112.42,131.745,112.42,STOP_LOSS,-6184.0,986425.5774405,882145.5774405
2025-12-19 00:00:00,CLOSE,600036.SS,3,0,2400,40.18,96432.0,38.19,43.165,40.98,TREND_REVERSAL,1920.0,982258.3729629,982258.3729629
2025-12-31 15:00:00,OPEN,000651.SZ,5,1,2400,40.22,96528.0,37.56,44.21,,,,982258.3729629,982258.3729629
